,DataID,FEIN,EntityName,DateOfOrganization,ActiveFlag,CleanName,CoreName,Date,bostonFlag
716510,00kmv8,001067482,"WATERMARK SEAPORT, LLC",12/19/2011,Y,WATERMARK SEAPORT LLC,WATERMARK SEAPORT,2011-12-19,False
18741,00ery7,L94478334,WASHOW LIMITED PARTNERSHIP,10/07/1994,Y,WASHOW LIMITED,WASHOW,1994-10-07,False
1076762,00l93a,001087483,"WASHINGTON STREET 703 REALTY, LLC",09/10/2012,Y,WASHINGTON ST 703 REALTY LLC,WASHINGTON ST 703,2012-09-10,False
740833,00qleo,001299706,WASHINGTON STREET HOLDINGS LLC,11/17/2017,Y,WASHINGTON ST HOLDINGS LLC,WASHINGTON ST,2017-11-17,False
903472,00iv2k,001032052,WASHINGTON PARK LIMITED PARTNERSHIP,07/09/2010,Y,WASHINGTON PARK LIMITED,WASHINGTON PARK,2010-07-09,False
697627,003e5o,810655387,WASHINGTON HEIGHTS UNITED CIRCLE DEVELOPMENT LLC,09/01/2004,Y,WASHINGTON HEIGHTS UNITED CIR DEVELOPMENT LLC,WASHINGTON HEIGHTS UNITED,2004-09-01,False
23308,00eh9s,L89300856,WASHINGTON COLUMBIA II LIMITED PARTNERSHIP,04/20/1989,Y,WASHINGTON COLUMBIA II LIMITED,WASHINGTON COLUMBIA II,1989-04-20,False
29571,00ef8v,L86024627,WASHINGTON COLUMBIA LIMITED PARTNERSHIP,12/30/1986,Y,WASHINGTON COLUMBIA LIMITED,WASHINGTON COLUMBIA,1986-12-30,False
1032229,00hoj8,001032010,"WASHINGTON BRIGHTON REALTY, LLC",07/09/2010,Y,WASHINGTON BRIGHTON REALTY LLC,WASHINGTON BRIGHTON,2010-07-09,False
58346,00e57h,043410677,WASHINGTON ASSOCIATES LLC,12/11/1997,Y,WASHINGTON ASSOCIATION LLC,WASHINGTON,1997-12-11,False
497539,0096tv,043131913,"WASHINGTON REALTY, INCORPORATED",07/24/1991,Y,WASHINGTON REALTY INC,WASHINGTON,1991-07-24,False
774705,00jazs,000919711,WASH REALTY 4440 LLC,03/22/2006,Y,WASH REALTY 4440 LLC,WASH 4440,2006-03-22,False
216516,004goy,042808005,"WARREN GARDENS HOUSING COOPERATIVE COMPANY, INC.",07/29/1983,Y,WARREN GARDEN HOUSING COOPERATIVE COMPANY INC,WARREN GARDEN HOUSING,1983-07-29,False
135952,001rzx,043326539,WARREN APARTMENTS CORPORATION,07/01/1996,Y,WARREN APARTMENTS CORPORATION,WARREN,1996-07-01,False
36820,00e6t8,L00709653,WARDMAN UE LIMITED PARTNERSHIP,06/12/2000,Y,WARDMAN UE LIMITED,WARDMAN UE,2000-06-12,False
923819,00g5p6,412112821,WANG DAT 88 LLC,10/10/2003,Y,WANG DAT 88 LLC,WANG DAT 88,2003-10-10,False
687207,00b5bt,000866656,WANG DAT REALTY TRUST LLC,04/27/2004,Y,WANG DAT REALTY TRUST LLC,WANG DAT,2004-04-27,False
337170,00e997,371464969,WANG DAT REALTY LLC,12/10/2001,Y,WANG DAT REALTY LLC,WANG DAT,2001-12-10,False
641983,00ag97,043583249,WANG DAT LLC,11/07/2001,Y,WANG DAT LLC,WANG DAT,2001-11-07,False
44922,00dpu9,000713668,"WALTER MIDDLE DEVELOPMENT, LLC",07/11/2000,Y,WALTER MIDDLE DEVELOPMENT LLC,WALTER MIDDLE,2000-07-11,False
21218,00ejtw,L91378462,WALTER J. MARTIN S.J. LIMITED PARTNERSHIP,12/02/1991,Y,WALTER J MARTIN SJ LIMITED,WALTER J MARTIN SJ,1991-12-02,False
57200,00dvoq,043502599,"WALTER BAKER LOFTS, LLC",02/28/2000,Y,WALTER BAKER LOFTS LLC,WALTER BAKER LOFTS,2000-02-28,False
1062007,00qssr,001306340,"WALSH INVESTMENTS, LLC",01/03/2018,Y,WALSH INVESTMENTS LLC,WALSH,2018-01-03,False
986430,00m52w,001115797,WALNUT WASHINGTON APARTMENTS MANAGER LLC,09/09/2013,Y,WALNUT WASHINGTON APARTMENTS MANAGERS LLC,WALNUT WASHINGTON,2013-09-09,False
1058411,00m54r,001115838,WALNUT WASHINGTON APARTMENTS LLC,09/09/2013,Y,WALNUT WASHINGTON APARTMENTS LLC,WALNUT WASHINGTON,2013-09-09,False
57075,00dyty,043438559,WALNUT HOUSING LLC,10/29/1998,Y,WALNUT HOUSING LLC,WALNUT HOUSING,1998-10-29,False
710540,0057jy,201888313,"WALNUT HOUSE, LLC",11/04/2004,N,WALNUT HOUSE LLC,WALNUT HOUSE,2004-11-04,False
832840,00ky6g,001077602,WALNUT BEACH LLC,04/24/2012,N,WALNUT BEACH LLC,WALNUT BEACH,2012-04-24,False
1178548,00l5m0,001084326,"WALNUT TWO FOUR SEVEN, LLC",07/25/2012,N,WALNUT 247 LLC,WALNUT 247,2012-07-25,False
1270846,00lcnc,001090705,"WALLACE INCOME REALTY, LLC",10/23/2012,Y,WALLACE INCOME REALTY LLC,WALLACE INCOME,2012-10-23,False
1070318,00o4kj,001188298,WALLACE ENTERPRISES LLC,09/03/2015,Y,WALLACE ENTERPRISES LLC,WALLACE ENTERPRISES,2015-09-03,False
830166,00i7h5,123543003,"WALLACE REALTY ENTERPRISES, LLC",03/10/2007,Y,WALLACE REALTY ENTERPRISES LLC,WALLACE ENTERPRISES,2007-03-10,False
636506,00fz7x,208403115,"WALLACE REAL ESTATE, LLC",01/18/2007,Y,WALLACE REAL ESTATE LLC,WALLACE,2007-01-18,False
785980,00ldhb,001091422,"WALFORD WAY INVESTMENTS, LLC",11/02/2012,Y,WALFORD WAY INVESTMENTS LLC,WALFORD WAY,2012-11-02,False
48703,00dtwv,042697194,WALDORF ASSOCIATES LLC,09/21/1999,Y,WALDORF ASSOCIATION LLC,WALDORF,1999-09-21,False
61354,00e57k,043410678,WALBRIDGE/COMMONWEALTH ASSOCIATES LLC,12/11/1997,Y,WALBRIDGE/COMMONWEALTH ASSOCIATION LLC,WALBRIDGE/COMMONWEALTH,1997-12-11,False
1150985,00lzzb,001111521,"WACO ENTERPRISES, LLC",07/10/2013,Y,WACO ENTERPRISES LLC,WACO ENTERPRISES,2013-07-10,False
762364,009umj,203964003,WESTWOOD CAPITAL LLC,12/23/2005,Y,W WOOD CAPITAL LLC,W WOOD CAPITAL,2005-12-23,False
1023734,00kznq,001078902,WEST SCHOOL LLC,05/10/2012,N,W SCHOOL LLC,W SCHOOL,2012-05-10,False
1076170,00esj7,273471239,WEST ROX LLC,12/24/2009,N,W ROXBURY LLC,W ROXBURY,2009-12-24,False
1131126,00o915,001194086,WESTPOINT RENTALS LLC,10/20/2015,Y,W POINT RENTAL LLC,W POINT,2015-10-20,False
59482,00firo,043573113,"WEST PARKWAY, LLC",05/22/2001,Y,W PARKWAY LLC,W PARKWAY,2001-05-22,False
17947,00eng9,L95490399,WESTMINSTER COMMUNITY LIMITED PARTNERSHIP,02/01/1995,Y,W MINSTER COMMUNITY LIMITED,W MINSTER COMMUNITY,1995-02-01,False
976126,00lucm,001106577,"WESTMEATH REALTY, LLC",05/07/2013,Y,W MEATH REALTY LLC,W MEATH,2013-05-07,False
679647,00cli1,900210328,WESTLAND AVENUE LLC,06/02/2003,Y,W LAND AVE LLC,W LAND AVE,2003-06-02,False
863702,00tnl3,001413744,WESTLAND PROPERTIES LLC,12/03/2019,Y,W LAND PROPERTIES LLC,W LAND,2019-12-03,False
648804,00i49f,020618230,"WESTLAND REALTY, LLC",05/31/2002,Y,W LAND REALTY LLC,W LAND,2002-05-31,False
701787,00cth8,000872128,"WESTHILL ASSOCIATES A, LLC",07/13/2004,Y,W HILL ASSOCIATION A LLC,W HILL A,2004-07-13,False
1168556,00laro,001089000,WEST COTTAGE LLC,09/28/2012,Y,W COTTAGE LLC,W COTTAGE,2012-09-28,False
726208,00kszb,001073045,WEST BROADWAY REALTY LLC,02/24/2012,Y,W BROADWAY REALTY LLC,W BROADWAY,2012-02-24,False
762346,009jnb,000912347,W-BEST LLC,12/22/2005,Y,W BEST LLC,W BEST,2005-12-22,False
1089403,00l4hw,001083318,"WEST SECOND AT ATHENS, LLC",07/11/2012,Y,W 2ND AT ATHENS LLC,W 2ND AT ATHENS,2012-07-11,False
1105143,00ki49,001063137,"VU REALTY, LLC",10/17/2011,Y,VU REALTY LLC,VU,2011-10-17,False
984823,00h34u,001036250,VLM REALTY LLC,09/15/2010,Y,VLM REALTY LLC,VLM,2010-09-15,False
1078024,00l9m6,460989035,VINLIN REALTY LLC,09/17/2012,Y,VINLIN REALTY LLC,VINLIN,2012-09-17,False
814030,00adxe,001008334,VINAL MONTROSE LLC,07/16/2009,Y,VINAL MONTROSE LLC,VINAL MONTROSE,2009-07-16,False
61353,00e578,043410673,VINAL ASSOCIATES LLC,12/11/1997,Y,VINAL ASSOCIATION LLC,VINAL,1997-12-11,False
687554,00kqca,001070679,VILLAGGIO BOSTON LLC,01-27-2012,Y,VILLAGGIO BOSTON LLC,VILLAGGIO BOSTON,2012-01-27,False
1126199,00l0x6,001080020,VILLAGE ATHLETIC LLC,05/24/2012,N,VILLAGE ATHLETIC LLC,VILLAGE ATHLETIC,2012-05-24,False
58412,00e5i3,043405687,"VILLAGE REALTY, LLC",01/02/1998,Y,VILLAGE REALTY LLC,VILLAGE,1998-01-02,False
846952,00lxo7,001109480,"VICTORY EQUITY INVESTMENT, LLC",06/13/2013,Y,VICTORY EQUITY INVESTMENTS LLC,VICTORY EQUITY,2013-06-13,False
1167963,00lam9,001088870,VICTORIA CAPITAL LLC,09-27-2012,Y,VICTORIA CAPITAL LLC,VICTORIA CAPITAL,2012-09-27,False
1253177,00quze,001309172,"THE VICTORIA GROUP, INC.",01/22/2018,Y,VICTORIA GROUP INC,VICTORIA,2018-01-22,False
703494,002992,000873349,"VFW PARKWAY CONDOMINIUM, LLC",07/30/2004,Y,VFW PARKWAY CONDO LLC,VFW PARKWAY,2004-07-30,False
821821,0086f6,001035277,VF DEVELOPMENT LLC,08/30/2010,Y,VF DEVELOPMENT LLC,VF,2010-08-30,False
1043893,00lp2o,001101918,VERTULLO BUILDING LLC,03/11/2013,Y,VERTULLO BUILDING LLC,VERTULLO BUILDING,2013-03-11,False
1000616,005rpf,001057685,VERO VENTURES LLC,07/21/2011,Y,VERO VENTURE LLC,VERO,2011-07-21,False
24685,00ekwm,L87027546,V.B.C. HOUSING LIMITED PARTNERSHIP,12/22/1987,Y,VBC HOUSING LIMITED,VBC HOUSING,1987-12-22,False
