,DataID,FEIN,EntityName,DateOfOrganization,ActiveFlag,CleanName,CoreName,Date,bostonFlag
994439,00ihta,001050654,GLENETNA PLAZA LLC,04/11/2011,Y,GLENETNA PLAZA LLC,GLENETNA PLAZA,2011-04-11,False
29510,00eaoc,L86024426,GLENDALE ASSOCIATES LIMITED PARTNERSHIP,12/24/1986,Y,GLENDALE ASSOCIATION LIMITED,GLENDALE,1986-12-24,False
767158,008g9m,000915553,"GINGER ARIES, LLC",01/30/2006,Y,GINGER ARIES LLC,GINGER ARIES,2006-01-30,False
150227,002bw2,043157442,GILPA CORPORATION,09/16/1992,Y,GILPA CORPORATION,GILPA,1992-09-16,False
1158628,00gi5w,271233802,GILMORE FARRELL LLC,07/08/2009,Y,GILMORE FARRELL LLC,GILMORE FARRELL,2009-07-08,False
1190076,00ipj4,271647313,"GILBRIDE REAL ESTATE, LLC",01/11/2010,N,GILBRIDE REAL ESTATE LLC,GILBRIDE,2010-01-11,False
1025091,00i108,000989361,"GHASSAN & LENA REAL ESTATE, LLC",11/03/2008,N,GHASSAN AND LENA REAL ESTATE LLC,GHASSAN AND LENA,2008-11-03,False
1092681,00mb7v,464113827,"GGK REALTY, LLC",11/15/2013,Y,GGK REALTY LLC,GGK,2013-11-15,False
1080130,00l06a,455178600,GFAHY LLC,05/16/2012,Y,GFAHY LLC,GFAHY,2012-05-16,False
790811,00cgy3,000928419,"GERVAISE, LLC",07/10/2006,Y,GERVAISE LLC,GERVAISE,2006-07-10,False
788846,006obm,205340888,GERASIMIDIS GROUP LLC,06/26/2006,Y,GERASIMIDIS GROUP LLC,GERASIMIDIS,2006-06-26,False
755201,00jsyi,000908281,"GERARDI REALTY, LLC",10/25/2005,Y,GERARDI REALTY LLC,GERARDI,2005-10-25,False
1159266,00kxsj,001077267,"GERALD ROAD REALTY, LLC",04/19/2012,Y,GERALD RD REALTY LLC,GERALD RD,2012-04-19,False
1184234,00llkh,001098861,GEORGETOWNE HOMES ONE LLC,01/31/2013,Y,GEORGETOWNE HOMESILLC,GEORGETOWNE HOMESI,2013-01-31,False
1184221,00lljx,001098845,GEORGETOWNE HOMES TWO LLC,01/31/2013,Y,GEORGETOWNE HOMES 2 LLC,GEORGETOWNE HOMES 2,2013-01-31,False
1247395,00nb0l,001152125,GEORGES RENTALS LLC,11/14/2014,Y,GEORGES RENTAL LLC,GEORGES,2014-11-14,False
1055465,00gcie,001058090,"GEORGE STREET HOLDINGS, LLC",07/27/2011,N,GEORGE ST HOLDINGS LLC,GEORGE ST,2011-07-27,False
16674,00eubw,L96524021,GEORGE P. REALTY LIMITED PARTNERSHIP,01/12/1996,Y,GEORGE P REALTY LIMITED,GEORGE P,1996-01-12,False
1190254,00g2kg,271660346,GEORGE ADAMS 45 LLC,01/12/2010,N,GEORGE ADAMS 45 LLC,GEORGE ADAMS 45,2010-01-12,False
1197999,00mi0b,001127106,GEORGE LLC,01/29/2014,Y,GEORGE LLC,GEORGE,2014-01-29,False
16672,00euk5,L96524019,GENIUS REALTY LIMITED PARTNERSHIP,01/12/1996,Y,GENIUS REALTY LIMITED,GENIUS,1996-01-12,False
341562,008neq,000689648,"GENEVA AVENUE ELDERLY HOUSING, INC.",01/14/2000,Y,GENEVA AVE ELDERLY HOUSING INC,GENEVA AVE ELDERLY HOUSING,2000-01-14,False
650147,00gu99,371426384,GENEVA APARTMENTS LLC,03/25/2002,Y,GENEVA APARTMENTS LLC,GENEVA,2002-03-25,False
910941,00bk9g,000846024,"GENESIS PROPERTIES, LLC",07/16/2003,Y,GENESIS PROPERTIES LLC,GENESIS,2003-07-16,False
69426,00c2xr,042697983,THE GENERAL HOSPITAL CORPORATION,12/06/1979,Y,GENERAL HOSPITAL CORPORATION,GENERAL HOSPITAL,1979-12-06,False
1047727,00mfst,001125152,"GEGC 2 NEW STREET, LLC",01/08/2014,Y,GEGC 2 NEW ST LLC,GEGC 2 NEW ST,2014-01-08,False
943015,00kt1j,460965058,"GECHIJIAN REALTY, LLC",02/27/2012,Y,GECHIJIAN REALTY LLC,GECHIJIAN,2012-02-27,False
1276645,00pmed,001258225,G.C.T. LTD,01/27/2017,Y,GCT LIMITED,GCT,2017-01-27,False
1014461,00jy30,000991704,"GBS REALTY GROUP, LLC",12/15/2008,Y,GBS REALTY GROUP LLC,GBS,2008-12-15,False
192317,003pmq,042929698,"GATEWAY HOUSE, INC. THE",07/12/1974,N,GATEWAY HOUSE INC,GATEWAY HOUSE,1974-07-12,False
1035041,00ma3e,001120101,"GARRETT, LLC",11/04/2013,Y,GARRETT LLC,GARRETT,2013-11-04,False
777101,00heog,204537920,GARLIN LJS LLC,03/31/2006,Y,GARLIN LJS LLC,GARLIN LJS,2006-03-31,False
759680,0013u1,000910866,GARDNER STREET REALTY LJS LLC,12/02/2005,Y,GARDNER ST REALTY LJS LLC,GARDNER ST LJS,2005-12-02,False
666258,00g91r,000831145,"GARDNER 83 ASSOCIATES, LLC",12/17/2002,Y,GARDNER 83 ASSOCIATION LLC,GARDNER 83,2002-12-17,False
964064,00n41k,001146037,"GARDEN CYCLES, LLC",09/04/2014,Y,GARDEN CYCLES LLC,GARDEN CYCLES,2014-09-04,False
921928,00cox9,200243232,GARBALLY REALTY LLC,09/23/2003,Y,GARBALLY REALTY LLC,GARBALLY,2003-09-23,False
1058005,00khrd,001062818,"GANTRY, LLC",10/11/2011,Y,GANTRY LLC,GANTRY,2011-10-11,False
436143,00d4gy,000013521,"GAMMA PHI KAPPA ALUMNI ASSOCIATION, INC.",03/18/1965,Y,GAMMA PHI KAPPA ALUMNI ASSOCIATION INC,GAMMA PHI KAPPA ALUMNI,1965-03-18,False
830118,00jpix,208892118,"GAMBA SERIES, LLC",03/09/2007,N,GAMBA SERIES LLC,GAMBA SERIES,2007-03-09,False
1006677,0059fh,263365435,GALWAY REALTY LLC,09/11/2008,N,GALWAY REALTY LLC,GALWAY,2008-09-11,False
989235,00e18v,000948960,GABEE LLC,04/09/2007,Y,GABEE LLC,GABEE,2007-04-09,False
783929,0009gh,000924317,"G.A. INVESTMENTS, LLC",05-15-2006,Y,GA INVESTMENTS LLC,GA,2006-05-15,False
863050,00sb4c,001361856,"G & S PROPERTIES, LLC",01/03/2019,Y,G AND S PROPERTIES LLC,G AND S,2019-01-03,False
947669,00m9pc,001119774,"G & A PROPERTY MANAGEMENT, LLC",10/30/2013,Y,G AND A PROPERTIES MANAGEMENT LLC,G AND A,2013-10-30,False
382679,00a3xh,000286192,FVI CORPORATION,11/17/1988,N,FVI CORPORATION,FVI,1988-11-17,False
819190,00irap,264276863,"FUNG & HSU ASSOCIATES REALTY, LLC",02/18/2009,Y,FUNG AND HSU ASSOCIATION REALTY LLC,FUNG AND HSU,2009-02-18,False
48280,00dlf7,000719866,"FRONTGATE, LLC",09/01/2000,N,FRONTGATE LLC,FRONTGATE,2000-09-01,False
59158,00fj9t,000751986,"FRM BUILDERS, LLC",05/02/2001,N,FRM BUILDERS LLC,FRM BUILDERS,2001-05-02,False
645165,00j8bc,043598820,"FRIENDS OF PUDDINGSTONE PARK, INC.",01/10/2002,Y,FRIENDS OF PUDDINGSTONE PARK INC,FRIENDS OF PUDDINGSTONE PARK,2002-01-10,False
162639,002rxd,043075898,FRIENDS DEVELOPMENT CORPORATION,01/23/1990,Y,FRIENDS DEVELOPMENT CORPORATION,FRIENDS,1990-01-23,False
735860,00fn1s,300332048,"FRIENDLY EARTH HOMES, LLC",05/12/2005,Y,FRIENDLY EARTH HOMES LLC,FRIENDLY EARTH HOMES,2005-05-12,False
253608,005ov7,042642980,"FRERES REUNIS NO. 597, INC.",10-02-1973,Y,FRERES REUNIS NO 597 INC,FRERES REUNIS NO 597,1973-10-02,False
1081166,00hjee,001014174,FREEPORT REALTY II LLC,10/20/2009,Y,FREEPORT REALTY II LLC,FREEPORT II,2009-10-20,False
842179,00ltra,462662356,FREEDOM VENTURES III LLC,04/30/2013,Y,FREEDOM VENTURE III LLC,FREEDOM III,2013-04-30,False
517999,00dzaj,000500720,FRAZER CONSTRUCTION CORP.,05/10/1995,Y,FRAZER CONSTRUCTION CORPORATION,FRAZER CONSTRUCTION,1995-05-10,False
944786,00mkme,001129306,FRAZER 20 MARLBOROUGH HOLDINGS LP,02/26/2014,N,FRAZER 20 MARLBOROUGH HOLDINGS LIMITED,FRAZER 20 MARLBOROUGH,2014-02-26,False
944787,00mkmf,001129307,FRAZER 165 HOLDINGS LP,02/26/2014,N,FRAZER 165 HOLDINGS LIMITED,FRAZER 165,2014-02-26,False
892749,00u3ew,001430336,"FRASER HOLDINGS, LLC",03/12/2020,Y,FRASER HOLDINGS LLC,FRASER,2020-03-12,False
1001985,00kgzx,001062134,FRANKLIN PRESERVATION ASSOCIATES LIMITED PARTNERSHIP,09/29/2011,Y,FRANKLIN PRESERVATION ASSOCIATION LIMITED,FRANKLIN PRESERVATION,2011-09-29,False
15916,00evdz,L96559332,FRANKLIN HIGHLANDS LIMITED PARTNERSHIP,12/24/1996,Y,FRANKLIN HIGHLANDS LIMITED,FRANKLIN HIGHLANDS,1996-12-24,False
764671,00669s,204044414,FRANKLIN CAPITAL LLC,01/06/2006,Y,FRANKLIN CAPITAL LLC,FRANKLIN CAPITAL,2006-01-06,False
986590,00iq2p,001044118,"FPG 17 WENSLEY, LLC",01/11/2011,Y,FPG 17 WENSLEY LLC,FPG 17 WENSLEY,2011-01-11,False
928629,00harx,200557796,"FOXY, LLC",12/05/2003,Y,FOXY LLC,FOXY,2003-12-05,False
844201,00lxfy,462951401,FOX STREET LLC,06/11/2013,Y,FOX ST LLC,FOX ST,2013-06-11,False
898249,00bz28,207030653,FOTTLER RESIDENCE LLC,10/06/2010,Y,FOTTLER RESIDENCE LLC,FOTTLER RESIDENCE,2010-10-06,False
36360,00klwl,001066572,"FOSTER REALTY, LLC",12/07/2011,Y,FOSTER REALTY LLC,FOSTER,2011-12-07,False
1056554,00khab,001062393,FOSHER LONGWOOD LLC,10/04/2011,Y,FOSHER LONGWOOD LLC,FOSHER LONGWOOD,2011-10-04,False
637540,00jdsf,001042809,FOSHER 804-6 PARKER LLC,12/24/2010,Y,FOSHER 6 PARKER LLC,FOSHER 6 PARKER,2010-12-24,False
222242,004jro,042771148,"FORWARD, INC.",10/12/1982,Y,FORWARD INC,FORWARD,1982-10-12,False
1119244,00lfgp,001093231,"FORTIUM REALTY, LLC",11/29/2012,Y,FORTIUM REALTY LLC,FORTIUM,2012-11-29,False
1260065,00f1cq,000978864,"FORESTVALE APARTMENTS, LIMITED PARTNERSHIP",05/29/2008,Y,FORESTVALE APARTMENTS LIMITED,FORESTVALE,2008-05-29,False
473620,005dgf,042782802,"FOREST HILLS HOUSING COOPERATIVE, INC.",06/24/1981,Y,FOREST HILLS HOUSING COOPERATIVE INC,FOREST HILLS HOUSING,1981-06-24,False
831848,00krvy,454533185,FOREST HILLS ARBORWAY LLC,02/14/2012,Y,FOREST HILLS ARBORWAY LLC,FOREST HILLS ARBORWAY,2012-02-14,False
640140,00gjvv,000802586,FORDHAM ROAD COMPANY LLC,10/15/2001,N,FORDHAM RD COMPANY LLC,FORDHAM RD,2001-10-15,False
1042666,00ljps,001097202,FORDHAM LLC,01/11/2013,N,FORDHAM LLC,FORDHAM,2013-01-11,False
692110,00lhdg,001094988,FOLLEN SUTAR LLC,12/19/2012,Y,FOLLEN SUTAR LLC,FOLLEN SUTAR,2012-12-19,False
1077751,00l9cs,001087726,"FOLLAYTTAR PROPERTIES, LLC",09/12/2012,Y,FOLLAYTTAR PROPERTIES LLC,FOLLAYTTAR,2012-09-12,False
1077759,00l9cw,001087729,"FOLLAYTTAR MANAGEMENT, LLC",09/12/2012,Y,FOLLAYTTAR MANAGEMENT LLC,FOLLAYTTAR,2012-09-12,False
1203773,00lghd,461536348,FLYTHE LLC,12/11/2012,N,FLYTHE LLC,FLYTHE,2012-12-11,False
587896,00fa1g,043381855,FLYING EAGLE REAL ESTATE CORP.,12/17/1997,N,FLYING EAGLE REAL ESTATE CORPORATION,FLYING EAGLE,1997-12-17,False
1279318,00hr4s,771847339,"FLUHR, LLC",02/08/2010,Y,FLUHR LLC,FLUHR,2010-02-08,False
58430,00e4bf,043416849,FLOROS PARTNERS LLC,04/14/1998,Y,FLOROS PARTNERS LLC,FLOROS,1998-04-14,False
1263606,00h5wd,000994654,FLORIDA MANOR LLC,01/28/2009,Y,FLORIDA MANOR LLC,FLORIDA MANOR,2009-01-28,False
1178697,00l5o4,001249623,FLORENCE STREET LLC,07-26-2012,Y,FLORENCE ST LLC,FLORENCE ST,2012-07-26,False
1260064,00irrf,000978862,"FLORENCE APARTMENTS, LIMITED PARTNERSHIP",05/29/2008,Y,FLORENCE APARTMENTS LIMITED,FLORENCE,2008-05-29,False
745706,0090qv,000901781,"FLEET STREET ASSOCIATES, LLC",07/27/2005,Y,FLEET ST ASSOCIATION LLC,FLEET ST,2005-07-27,False
687326,00h5a7,010900374,FIXER UPPER LLC,04-27-2004,Y,FIXER UPPER LLC,FIXER UPPER,2004-04-27,False
13870,00ey9f,L98638423,FISHER FAMILY LIMITED PARTNERSHIP,12/04/1998,Y,FISHER FAMILY LIMITED,FISHER FAMILY,1998-12-04,False
304951,007jr7,042005934,FISHER COLLEGE,06/09/1944,Y,FISHER COLLEGE,FISHER COLLEGE,1944-06-09,False
1235610,00mihb,001127506,FIORE 75 SOUTH STREET LLC,02/03/2014,N,FIORE 75 S ST LLC,FIORE 75 S ST,2014-02-03,False
1186039,0028yk,000998854,FILIPPO FRATTAROLI LLC,04/02/2009,N,FILIPPO FRATTAROLI LLC,FILIPPO FRATTAROLI,2009-04-02,False
237487,0056vb,042701837,"FIGUEROA ENTERPRISES, INC.",11/26/1975,N,FIGUEROA ENTERPRISES INC,FIGUEROA ENTERPRISES,1975-11-26,False
337346,008ivh,043490920,FIELDS CORNER HOUSING CORPORATION,11/08/1999,Y,FIELDS CORNER HOUSING CORPORATION,FIELDS CORNER HOUSING,1999-11-08,False
32109,00e680,L86003586,FIELDS CORNER HOUSING LIMITED PARTNERSHIP,12/29/1983,Y,FIELDS CORNER HOUSING LIMITED,FIELDS CORNER HOUSING,1983-12-29,False
29570,00ef8u,L86024626,FIELDS CORNER GRANITE LIMITED PARTNERSHIP,12/30/1986,Y,FIELDS CORNER GRANITE LIMITED,FIELDS CORNER GRANITE,1986-12-30,False
203648,0043pf,042851333,FIELDS CORNER CORPORATION,02/01/1985,Y,FIELDS CORNER CORPORATION,FIELDS CORNER,1985-02-01,False
465713,0014vu,042596195,FIELD CORPORATION,10/01/1976,Y,FIELD CORPORATION,FIELD,1976-10-01,False
157124,002kzk,043136525,"FENWAY LODGING HOUSE, INC.",06/13/1991,Y,FENWAY LODGING HOUSE INC,FENWAY LODGING HOUSE,1991-06-13,False
570276,00ix0x,043179650,"FENWAY, INC.",12/29/1992,Y,FENWAY INC,FENWAY,1992-12-29,False
32094,00e66z,L86003571,FENSGATE ASSOCIATES LIMITED PARTNERSHIP,09/25/1985,N,FENSGATE ASSOCIATION LIMITED,FENSGATE,1985-09-25,False
981213,00m1ul,001113157,FENG SHENG LLC,08/01/2013,N,FENG SHENG LLC,FENG SHENG,2013-08-01,False
1140340,00cb2r,000992674,FEN LLC,12/30/2008,Y,FEN LLC,FEN,2008-12-30,False
250491,005oib,042530384,"FELLOWSHIP-INTERNATIONAL, INC.",01/02/1973,N,FELLOWSHIP INTERNATIONAL INC,FELLOWSHIP INTERNATIONAL,1973-01-02,False
1039860,00tc9a,001401036,FEDERAL RENTALS CORPORATION,09/09/2019,Y,FEDERAL RENTAL CORPORATION,FEDERAL,2019-09-09,False
453828,003fux,042423072,FEDERAL INVESTMENT INCORPORATED,03/28/1966,Y,FEDERAL INVESTMENTS INC,FEDERAL,1966-03-28,False
1205082,00m7ic,463805266,"FDJGA, LLC",10/04/2013,Y,FDJGA LLC,FDJGA,2013-10-04,False
692711,00lhf0,001095036,"FDDG-MA, LLC",12/19/2012,Y,FDDG MASSACHUSETTS LLC,FDDG MASSACHUSETTS,2012-12-19,False
679660,00ib7u,000842999,FAWNDALE 10 LLC,06/02/2003,Y,FAWNDALE 10 LLC,FAWNDALE 10,2003-06-02,False
1023471,00kzb5,455214624,"FAWNDALE REALTY, INC.",05/08/2012,Y,FAWNDALE REALTY INC,FAWNDALE,2012-05-08,False
666719,00gkka,030500330,"FARRINGTON AVENUE, LLC",12/24/2002,N,FARRINGTON AVE LLC,FARRINGTON AVE,2002-12-24,False
1042338,00ehy0,273506611,FARAH REALTY LLC,09/21/2010,Y,FARAH REALTY LLC,FARAH,2010-09-21,False
127224,0026wg,043179952,FANEUIL HIV HOUSING CORPORATION,01/26/1993,Y,FANEUIL HIV HOUSING CORPORATION,FANEUIL HIV HOUSING,1993-01-26,False
1223776,008bty,272300193,FAM TAYLOR STREET LLC,04/08/2010,N,FAMILY TAYLOR ST LLC,FAMILY TAYLOR ST,2010-04-08,False
628281,00flqb,270531866,"FAMILY HOUSE, LLC",07/13/2009,Y,FAMILY HOUSE LLC,FAMILY HOUSE,2009-07-13,False
1239277,00m83w,001118416,FALKLAND ASSOCIATES LLC,10/15/2013,N,FALKLAND ASSOCIATION LLC,FALKLAND,2013-10-15,False
955102,00fiqj,263119569,"FALCUCCI PROPERTIES, LLC",08/04/2008,Y,FALCUCCI PROPERTIES LLC,FALCUCCI,2008-08-04,False
1186834,00mbyj,464176650,FAIRWAY TRUST CORP,11/25/2013,Y,FAIRWAY TRUST CORPORATION,FAIRWAY,2013-11-25,False
844229,00lxgl,001109274,"FAIRVIEW STREET PROPERTIES, LLC",06/11/2013,Y,FAIRVIEW ST PROPERTIES LLC,FAIRVIEW ST,2013-06-11,False
1064156,002hpt,263956451,"FAIRMOUNT OAK, LLC",12/16/2008,Y,FAIRMOUNT OAK LLC,FAIRMOUNT OAK,2008-12-16,False
1161145,006lsw,273141938,"FAIRMOUNT DAVISON, LLC",07/30/2010,Y,FAIRMOUNT DAVISON LLC,FAIRMOUNT DAVISON,2010-07-30,False
871367,00m42s,463511427,FAIRMOUNT PROPERTIES LLC,08/27/2013,N,FAIRMOUNT PROPERTIES LLC,FAIRMOUNT,2013-08-27,False
61330,00e53t,043409228,THE FAIRMONT COMPANY LLC,10/21/1998,N,FAIRMONT COMPANY LLC,FAIRMONT,1998-10-21,False
830371,00ksmz,454456636,"FAIRFIELD HIGHLAND PARK FORT HILL, LLC",02/22/2012,Y,FAIRFIELD HIGHLAND PARK FORT HILL LLC,FAIRFIELD HIGHLAND PARK FORT HILL,2012-02-22,False
1264154,00md52,001122773,FAIRFIELD CHOCOLATE FACTORY LLC,12/10/2013,N,FAIRFIELD CHOCOLATE FACTORY LLC,FAIRFIELD CHOCOLATE FACTORY,2013-12-10,False
17958,00enh3,L95490882,FAIRFIELD BOSTON APARTMENTS LIMITED PARTNERSHIP,02/07/1995,Y,FAIRFIELD BOSTON APARTMENTS LIMITED,FAIRFIELD BOSTON,1995-02-07,False
794322,00848f,000929840,FAIRFIELD BAY TOWER LP,07/26/2006,N,FAIRFIELD BAY TOWER LIMITED,FAIRFIELD BAY TOWER,2006-07-26,False
804420,00gsxt,000944568,"FAIRFIELD 10, LLC",02/14/2007,Y,FAIRFIELD 10 LLC,FAIRFIELD 10,2007-02-14,False
1122317,00mqjw,001134297,FAIRFIELD DEVELOPMENT INC.,04/22/2014,Y,FAIRFIELD DEVELOPMENT INC,FAIRFIELD,2014-04-22,False
652666,009tae,383566880,"FAEM PROPERTIES XI, LLC",04/30/2002,Y,FAEM PROPERTIES XI LLC,FAEM XI,2002-04-30,False
49862,00dxcl,043355027,"FADDS, L.L.C.",01/10/1997,N,FADDS LLC,FADDS,1997-01-10,False
775429,00gmku,421699219,EXETER TOWERS LLC,03/23/2006,Y,EXETER TOWERS LLC,EXETER TOWERS,2006-03-23,False
943231,00ktat,001073342,"EWB ENTERPRISES, LLC",02/29/2012,Y,EWB ENTERPRISES LLC,EWB ENTERPRISES,2012-02-29,False
770160,00j8eh,000917260,EVIAN PLACE LLC,02/21/2006,Y,EVIAN PLACE LLC,EVIAN PLACE,2006-02-21,False
468236,001geu,000508965,"EVERWIL, INC.",08/04/1995,N,EVERWIL INC,EVERWIL,1995-08-04,False
630109,00guus,001017250,"EVERGREEN EQUITIES, LLC",12/09/2009,Y,EVERGREEN EQUITIES LLC,EVERGREEN EQUITIES,2009-12-09,False
989347,001ff6,208807638,"EVERETT, STEIN AND ASSOCIATES LLC",04/09/2007,Y,EVERETT STEIN AND ASSOCIATION LLC,EVERETT STEIN AND,2007-04-09,False
654522,00gbti,000819195,EVERETT STREET CROSSING LIMITED PARTNERSHIP,06/07/2002,Y,EVERETT ST CROSSING LIMITED,EVERETT ST CROSSING,2002-06-07,False
1255527,00lmob,462025918,"EVERETT STREET DEVELOPMENT, LLC",02/14/2013,N,EVERETT ST DEVELOPMENT LLC,EVERETT ST,2013-02-14,False
1170742,004tr9,001046013,"EVEREST PROPERTIES, LLC",02/10/2011,Y,EVEREST PROPERTIES LLC,EVEREST,2011-02-10,False
861528,00s2xo,001353241,"EVELYN DEVELOPMENT PARTNERS, LLC",11/01/2018,Y,EVELYN DEVELOPMENT PARTNERS LLC,EVELYN,2018-11-01,False
893486,00hhkc,001016803,"EURO INVESTMENT GROUP, LLC",12/02/2009,Y,EURO INVESTMENTS GROUP LLC,EURO,2009-12-02,False
16673,00eubu,L96524020,EURO REALTY LIMITED PARTNERSHIP,01/12/1996,Y,EURO REALTY LIMITED,EURO,1996-01-12,False
877207,00m7nr,001118022,EUREKA INVESTMENTS LLC,10/08/2013,Y,EUREKA INVESTMENTS LLC,EUREKA,2013-10-08,False
691454,00jipj,000869048,"EUNIQUA HOLDINGS, LLC",05-27-2004,N,EUNIQUA HOLDINGS LLC,EUNIQUA,2004-05-27,False
494381,009r4y,042508992,"E T C DEVELOPERS, INC.",11/04/1970,N,ETC DEVELOPERS INC,ETC DEVELOPERS,1970-11-04,False
1219874,00n05e,001142630,"ET BUSINESS VENTURES, LLC",07-24-2014,N,ET BUSINESS VENTURE LLC,ET BUSINESS,2014-07-24,False
788342,00mjuq,001128673,"E S KENNEDY, LLC",02/19/2014,Y,ES KENNEDY LLC,ES KENNEDY,2014-02-19,False
14762,00esla,L97598288,ERP OPERATING LIMITED PARTNERSHIP,12/17/1997,Y,ERP OPERATING LIMITED,ERP OPERATING,1997-12-17,False
706467,00jqci,000877344,"ERJ PROPERTIES, LLC",09/24/2004,N,ERJ PROPERTIES LLC,ERJ,2004-09-24,False
469194,003yat,043170288,ERITEN INCORPORATED,06/11/1992,Y,ERITEN INC,ERITEN,1992-06-11,False
1030986,009mnu,001006367,ERIE ST. INVESTMENTS LLC,06/16/2009,Y,ERIE ST INVESTMENTS LLC,ERIE ST,2009-06-16,False
14413,00espv,L98621995,ERIE-ELLINGTON LIMITED PARTNERSHIP,06/30/1998,Y,ERIE ELLINGTON LIMITED,ERIE ELLINGTON,1998-06-30,False
949187,009wde,208544229,"EREM, LLC",03/30/2007,Y,EREM LLC,EREM,2007-03-30,False
902532,00i3qf,001013279,"EQUITY BUILDERS, LLC",10/05/2009,Y,EQUITY BUILDERS LLC,EQUITY BUILDERS,2009-10-05,False
1043688,00i3zc,274026191,"EQR-BACK BAY MANOR, LLC",11/24/2010,Y,EQR BACK BAY MANOR LLC,EQR BACK BAY MANOR,2010-11-24,False
328261,008zgg,000585210,"THE EPIPHANY SCHOOL, INC.",08/08/1997,Y,EPIPHANY SCHOOL INC,EPIPHANY SCHOOL,1997-08-08,False
1145030,00kinh,001063619,"EPIPHANY, LLC",10/24/2011,Y,EPIPHANY LLC,EPIPHANY,2011-10-24,False
1178378,00l5ds,460735947,"EPHESUS, LLC",07-23-2012,Y,EPHESUS LLC,EPHESUS,2012-07-23,False
678586,003kmg,510537603,ENNIS HIGHLAND UE LLC,05/21/2003,Y,ENNIS HIGHLAND UE LLC,ENNIS HIGHLAND UE,2003-05-21,False
61355,00e57o,043410681,ENGLEWOOD ASSOCIATES LLC,12/11/1997,Y,ENGLEWOOD ASSOCIATION LLC,ENGLEWOOD,1997-12-11,False
22246,00ejic,L90347464,ENGINE HOUSE LIMITED PARTNERSHIP,11/09/1990,N,ENGINE HOUSE LIMITED,ENGINE HOUSE,1990-11-09,False
1197985,00mi0d,001127108,"ENGELHARDT PROPERTIES, LLC",01-29-2014,Y,ENGELHARDT PROPERTIES LLC,ENGELHARDT,2014-01-29,False
1110211,0077am,000990133,ENDEAVOR CAPITAL FUNDING LLC,11/15/2008,Y,ENDEAVOR CAPITAL FUNDING LLC,ENDEAVOR CAPITAL FUNDING,2008-11-15,False
1006708,004uc6,000985969,"ENCORE PROPERTIES, LLC",09/11/2008,Y,ENCORE PROPERTIES LLC,ENCORE,2008-09-11,False
777105,00ily2,204536512,EMPIRE STREET LJS LLC,03/31/2006,Y,EMPIRE ST LJS LLC,EMPIRE ST LJS,2006-03-31,False
823908,00k49m,001045178,EMF GROUP 311 LLC,01/26/2011,Y,EMF GROUP 311 LLC,EMF 311,2011-01-26,False
1270468,00lcam,001090369,EMF GROUP 255 LLC,10/18/2012,N,EMF GROUP 255 LLC,EMF 255,2012-10-18,False
1008868,00i97c,270237124,"EMF GROUP, LLC",05/20/2009,Y,EMF GROUP LLC,EMF,2009-05-20,False
323714,007xtz,041286950,EMERSON COLLEGE,09/21/1886,Y,EMERSON COLLEGE,EMERSON COLLEGE,1886-09-21,False
738989,00j0j1,000897986,"EMERALD REALTY CAPITAL, LLC",06/09/2005,Y,EMERALD REALTY CAPITAL LLC,EMERALD CAPITAL,2005-06-09,False
1023279,00p7vl,001239350,ELMWOOD STREET LLC,09/09/2016,Y,ELMWOOD ST LLC,ELMWOOD ST,2016-09-09,False
1022278,00kvy2,001075639,"ELMIRA PROPERTIES, INC.",03/28/2012,Y,ELMIRA PROPERTIES INC,ELMIRA,2012-03-28,False
1161304,00dtjh,273159527,ELLINGTON STREET INVESTMENTS LLC,08/04/2010,Y,ELLINGTON ST INVESTMENTS LLC,ELLINGTON ST,2010-08-04,False
122502,001ds6,061378604,ELLINGTON COOPERATIVE CORPORATION,08/26/1993,Y,ELLINGTON COOPERATIVE CORPORATION,ELLINGTON,1993-08-26,False
102921,000snp,510192418,"ELIZABETH STONE HOUSE, INC.",12/05/1975,Y,ELIZABETH STONE HOUSE INC,ELIZABETH STONE HOUSE,1975-12-05,False
1222335,00lmfr,461943770,ELIJAH JAMYLA 125 LLC,02/11/2013,N,ELIJAH JAMYLA 125 LLC,ELIJAH JAMYLA 125,2013-02-11,False
1182760,00n4ns,001146574,"ELEMENT BRAINERD, LLC",09/10/2014,Y,ELEMENT BRAINERD LLC,ELEMENT BRAINERD,2014-09-10,False
1009139,002hyh,001014640,"ELDORA/MASSACHUSETTS AVENUE, LLC",10/27/2009,N,ELDORA/MASSACHUSETTS AVE LLC,ELDORA/MASSACHUSETTS AVE,2009-10-27,False
959625,00kzei,001078665,EL VALLE PROPERTIES LLC,05/07/2012,Y,EL VALLE PROPERTIES LLC,EL VALLE,2012-05-07,False
804417,0080ge,208577285,"EIM, LLC",02/14/2007,Y,EIM LLC,EIM,2007-02-14,False
688737,00kqda,001070712,"EH LAND TRUST, LLC",01/27/2012,Y,EH LAND TRUST LLC,EH LAND,2012-01-27,False
61357,00e57u,043410738,EGREMONT ASSOCIATES LLC,12/11/1997,Y,EGREMONT ASSOCIATION LLC,EGREMONT,1997-12-11,False
1281193,00mtjg,001136902,EGLESTON INFILL LLC,05/20/2014,Y,EGLESTON INFILL LLC,EGLESTON INFILL,2014-05-20,False
667570,001enf,000832399,EGLESTON CROSSING UE LIMITED PARTNERSHIP,12/31/2002,Y,EGLESTON CROSSING UE LIMITED,EGLESTON CROSSING UE,2002-12-31,False
